accuracy,dice_score,iou_score,loss,val_accuracy,val_dice_score,val_iou_score,val_loss,learning_rate,epoch_time,memory_usage,cpu_usage
0.8546265363693237,0.23219512403011322,0.17750412225723267,0.19207870960235596,0.8664562106132507,0.3247638940811157,0.17855222523212433,0.1885349154472351,0.0010000000474974513,267.47419834136963,2730.57421875,97.2
0.8589131832122803,0.37010806798934937,0.2583836019039154,0.18676556646823883,0.8284977078437805,0.3672189712524414,0.25650641322135925,0.18681561946868896,0.0010000000474974513,233.09852480888367,-355.21484375,99.5
0.8669089674949646,0.42546334862709045,0.33186793327331543,0.18390657007694244,0.8619320392608643,0.4265706539154053,0.3036975562572479,0.18541288375854492,0.0010000000474974513,237.91359043121338,8.12109375,99.5
0.8656421899795532,0.41775596141815186,0.3291514813899994,0.18475233018398285,0.8401404023170471,0.4645386040210724,0.3439236879348755,0.1838611662387848,0.0010000000474974513,228.48103284835815,74.18359375,99.4
0.8839178085327148,0.4455397427082062,0.35491323471069336,0.18272584676742554,0.8863189220428467,0.47037816047668457,0.38763418793678284,0.18270516395568848,0.0010000000474974513,228.00380516052246,344.03125,99.4
0.8854188919067383,0.4854302406311035,0.387320876121521,0.1812622994184494,0.8211864829063416,0.4864327907562256,0.37419581413269043,0.18262507021427155,0.0010000000474974513,228.737877368927,-67.7890625,98.6
0.8941526412963867,0.49054279923439026,0.3960202932357788,0.1805451214313507,0.890382707118988,0.48231610655784607,0.3835839033126831,0.1810743361711502,0.0010000000474974513,226.33147525787354,9.8359375,99.0
0.8981196284294128,0.5199372172355652,0.4225083887577057,0.1788966804742813,0.821876585483551,0.4771307408809662,0.3803575038909912,0.18206582963466644,0.0010000000474974513,225.07999873161316,-287.1484375,98.9
0.9004120230674744,0.5334522724151611,0.4298512637615204,0.17841807007789612,0.7330551147460938,0.4301110804080963,0.33055081963539124,0.18835562467575073,0.0010000000474974513,211.35817646980286,101.12890625,99.2
0.891991138458252,0.5303167700767517,0.4274115562438965,0.17883223295211792,0.7329158782958984,0.43168237805366516,0.32894366979599,0.18703943490982056,0.0010000000474974513,213.3345263004303,-11.34375,99.0
0.8907002806663513,0.5070736408233643,0.40788230299949646,0.17983940243721008,0.8258857131004333,0.47536250948905945,0.3738054037094116,0.1837325096130371,0.0010000000474974513,213.076904296875,-99.31640625,99.5
0.9010186195373535,0.5350250005722046,0.43037348985671997,0.17807745933532715,0.8395254015922546,0.5267877578735352,0.4166654646396637,0.18056516349315643,0.0010000000474974513,214.12622165679932,-26.3984375,99.5
0.8997459411621094,0.5396679043769836,0.4362484812736511,0.17780040204524994,0.8589053153991699,0.5200164914131165,0.4130133390426636,0.17973189055919647,0.0010000000474974513,212.93912148475647,-52.7890625,99.4
0.9060546159744263,0.5413858890533447,0.4387355446815491,0.17789888381958008,0.8271352648735046,0.4457985460758209,0.35409554839134216,0.18218736350536346,0.0010000000474974513,213.3211977481842,183.7890625,98.7
0.8919622302055359,0.5386128425598145,0.4300783574581146,0.17856678366661072,0.889660656452179,0.5779473185539246,0.4705115258693695,0.17790476977825165,0.0010000000474974513,214.94159317016602,-136.47265625,98.6
0.8978216052055359,0.5350425243377686,0.4293462038040161,0.17833055555820465,0.8276455402374268,0.4696407616138458,0.37234532833099365,0.18180468678474426,0.0010000000474974513,213.17674326896667,37.92578125,99.1
